Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,2.25144e-14,8.47996e-15,1.40344e-14
4.06000e+02,2.25175e-14,8.41619e-15,1.41013e-14
4.12000e+02,2.24962e-14,8.32967e-15,1.41665e-14
4.18000e+02,2.24549e-14,8.22481e-15,1.42301e-14
4.24000e+02,2.23811e-14,8.09187e-15,1.42893e-14
4.30000e+02,2.22816e-14,7.93677e-15,1.43449e-14
4.36000e+02,2.21726e-14,7.77304e-15,1.43995e-14
4.42000e+02,2.20466e-14,7.59661e-15,1.44500e-14
4.48000e+02,2.19062e-14,7.41303e-15,1.44931e-14
4.54000e+02,2.17663e-14,7.23830e-15,1.45280e-14
4.60000e+02,2.16339e-14,7.08090e-15,1.45530e-14
4.66000e+02,2.14991e-14,6.93469e-15,1.45644e-14
4.72000e+02,2.14158e-14,6.84273e-15,1.45731e-14
4.78000e+02,2.14515e-14,6.85923e-15,1.45923e-14
4.84000e+02,2.17063e-14,7.06616e-15,1.46402e-14
4.90000e+02,2.21608e-14,7.43708e-15,1.47237e-14
4.96000e+02,2.26883e-14,7.85209e-15,1.48362e-14
5.02000e+02,2.34491e-14,8.43329e-15,1.50158e-14
5.08000e+02,2.44815e-14,9.20245e-15,1.52791e-14
5.14000e+02,2.58263e-14,1.01880e-14,1.56382e-14
5.20000e+02,2.74859e-14,1.14024e-14,1.60835e-14
5.26000e+02,2.95547e-14,1.29500e-14,1.66047e-14
5.32000e+02,3.17785e-14,1.47601e-14,1.70184e-14
5.38000e+02,3.39709e-14,1.68080e-14,1.71630e-14
5.44000e+02,3.60471e-14,1.90887e-14,1.69585e-14
5.50000e+02,3.80526e-14,2.15686e-14,1.64839e-14
5.56000e+02,4.00933e-14,2.41886e-14,1.59047e-14
5.62000e+02,4.23547e-14,2.70186e-14,1.53361e-14
5.68000e+02,4.48691e-14,3.00303e-14,1.48387e-14
5.74000e+02,4.75820e-14,3.31679e-14,1.44141e-14
5.80000e+02,5.03701e-14,3.63356e-14,1.40345e-14
5.86000e+02,5.30977e-14,3.94299e-14,1.36678e-14
5.92000e+02,5.55531e-14,4.22876e-14,1.32654e-14
5.98000e+02,5.75468e-14,4.47534e-14,1.27934e-14
6.04000e+02,5.89462e-14,4.67098e-14,1.22364e-14
6.10000e+02,5.96599e-14,4.80664e-14,1.15935e-14
6.16000e+02,5.96496e-14,4.87741e-14,1.08755e-14
6.22000e+02,5.90768e-14,4.90340e-14,1.00428e-14
6.28000e+02,5.78891e-14,4.87070e-14,9.18215e-15
6.34000e+02,5.61374e-14,4.78077e-14,8.32973e-15
6.40000e+02,5.39380e-14,4.64297e-14,7.50821e-15
6.46000e+02,5.14258e-14,4.46863e-14,6.73951e-15
6.52000e+02,4.87207e-14,4.26866e-14,6.03410e-15
6.58000e+02,4.59167e-14,4.05223e-14,5.39440e-15
6.64000e+02,4.31011e-14,3.82228e-14,4.87830e-15
6.70000e+02,4.03583e-14,3.59138e-14,4.44451e-15
6.76000e+02,3.77125e-14,3.36547e-14,4.05781e-15
6.82000e+02,3.52010e-14,3.14839e-14,3.71703e-15
6.88000e+02,3.28461e-14,2.94267e-14,3.41934e-15
6.94000e+02,3.06453e-14,2.74868e-14,3.15847e-15
7.00000e+02,2.85996e-14,2.56693e-14,2.93037e-15
7.06000e+02,2.67058e-14,2.39753e-14,2.73044e-15
7.12000e+02,2.49609e-14,2.24105e-14,2.55034e-15
7.18000e+02,2.33481e-14,2.09611e-14,2.38702e-15
7.24000e+02,2.18552e-14,1.96170e-14,2.23819e-15
7.30000e+02,2.04776e-14,1.83746e-14,2.10303e-15
7.36000e+02,1.92032e-14,1.72236e-14,1.97965e-15
7.42000e+02,1.80280e-14,1.61606e-14,1.86742e-15
7.48000e+02,1.69436e-14,1.51784e-14,1.76516e-15
7.54000e+02,1.59418e-14,1.42700e-14,1.67175e-15
7.60000e+02,1.50180e-14,1.34289e-14,1.58914e-15
7.66000e+02,1.41630e-14,1.26493e-14,1.51366e-15
7.72000e+02,1.33700e-14,1.19274e-14,1.44258e-15
7.78000e+02,1.26333e-14,1.12577e-14,1.37558e-15
7.84000e+02,1.19485e-14,1.06361e-14,1.31243e-15
7.90000e+02,1.13112e-14,1.00583e-14,1.25288e-15
7.96000e+02,1.07174e-14,9.52072e-15,1.19668e-15
8.02000e+02,1.01651e-14,9.02126e-15,1.14389e-15
8.08000e+02,9.64790e-15,8.55415e-15,1.09375e-15
8.14000e+02,9.16736e-15,8.12049e-15,1.04687e-15
8.20000e+02,8.71624e-15,7.71397e-15,1.00227e-15
8.26000e+02,8.28627e-15,7.33300e-15,9.53266e-16
8.32000e+02,7.88159e-15,6.97594e-15,9.05656e-16
8.38000e+02,7.50496e-15,6.64256e-15,8.62403e-16
8.44000e+02,7.15262e-15,6.32989e-15,8.22729e-16
8.50000e+02,6.82387e-15,6.03731e-15,7.86555e-16
8.56000e+02,6.51562e-15,5.76235e-15,7.53264e-16
8.62000e+02,6.22717e-15,5.50439e-15,7.22779e-16
8.68000e+02,5.95605e-15,5.26143e-15,6.94629e-16
8.74000e+02,5.70176e-15,5.03300e-15,6.68756e-16
8.80000e+02,5.46281e-15,4.81790e-15,6.44910e-16
8.86000e+02,5.23816e-15,4.61524e-15,6.22917e-16
8.92000e+02,5.02613e-15,4.42362e-15,6.02502e-16
8.98000e+02,4.83365e-15,4.24477e-15,5.88876e-16
9.04000e+02,4.65154e-15,4.07517e-15,5.76370e-16
9.10000e+02,4.47923e-15,3.91484e-15,5.64398e-16
9.16000e+02,4.31516e-15,3.76234e-15,5.52816e-16
9.22000e+02,4.15927e-15,3.61760e-15,5.41664e-16
9.28000e+02,4.01099e-15,3.48008e-15,5.30911e-16
9.34000e+02,3.86996e-15,3.34941e-15,5.20549e-16
9.40000e+02,3.73568e-15,3.22513e-15,5.10548e-16
9.46000e+02,3.60740e-15,3.10656e-15,5.00848e-16
9.52000e+02,3.48542e-15,2.99390e-15,4.91518e-16
9.58000e+02,3.36882e-15,2.88635e-15,4.82469e-16
9.64000e+02,3.25776e-15,2.78401e-15,4.73749e-16
9.70000e+02,3.15149e-15,2.68620e-15,4.65282e-16
9.76000e+02,3.05013e-15,2.59302e-15,4.57116e-16
9.82000e+02,2.95327e-15,2.50405e-15,4.49214e-16
9.88000e+02,2.85906e-15,2.41858e-15,4.40486e-16
9.94000e+02,2.76824e-15,2.33689e-15,4.31348e-16
1.00000e+03,2.68134e-15,2.25876e-15,4.22577e-16
