Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,6.58130e-15,1.10956e-15,5.47174e-15
4.06000e+02,6.51167e-15,1.06398e-15,5.44769e-15
4.12000e+02,6.43407e-15,1.01687e-15,5.41720e-15
4.18000e+02,6.34893e-15,9.69114e-16,5.37981e-15
4.24000e+02,6.25792e-15,9.20165e-16,5.33776e-15
4.30000e+02,6.17239e-15,8.72304e-16,5.30009e-15
4.36000e+02,6.10626e-15,8.28477e-16,5.27778e-15
4.42000e+02,6.06944e-15,7.89135e-16,5.28031e-15
4.48000e+02,6.06958e-15,7.55275e-16,5.31431e-15
4.54000e+02,6.10451e-15,7.27667e-16,5.37684e-15
4.60000e+02,6.16659e-15,7.05865e-16,5.46072e-15
4.66000e+02,6.23321e-15,6.86779e-16,5.54643e-15
4.72000e+02,6.35404e-15,6.78906e-16,5.67514e-15
4.78000e+02,6.57529e-15,6.91481e-16,5.88381e-15
4.84000e+02,6.96714e-15,7.40288e-16,6.22685e-15
4.90000e+02,7.47796e-15,8.21000e-16,6.65695e-15
4.96000e+02,7.99089e-15,9.10932e-16,7.07996e-15
5.02000e+02,8.63747e-15,1.03962e-15,7.59784e-15
5.08000e+02,9.44110e-15,1.21773e-15,8.22337e-15
5.14000e+02,1.04187e-14,1.45815e-15,8.96056e-15
5.20000e+02,1.15383e-14,1.76612e-15,9.77218e-15
5.26000e+02,1.27151e-14,2.14539e-15,1.05697e-14
5.32000e+02,1.36827e-14,2.54482e-15,1.11379e-14
5.38000e+02,1.41362e-14,2.88892e-15,1.12473e-14
5.44000e+02,1.38278e-14,3.09105e-15,1.07368e-14
5.50000e+02,1.27796e-14,3.10644e-15,9.67312e-15
5.56000e+02,1.13783e-14,2.99312e-15,8.38519e-15
5.62000e+02,9.77486e-15,2.77158e-15,7.00328e-15
5.68000e+02,8.20280e-15,2.49690e-15,5.70591e-15
5.74000e+02,6.79901e-15,2.21286e-15,4.58616e-15
5.80000e+02,5.61667e-15,1.94622e-15,3.67045e-15
5.86000e+02,4.63216e-15,1.70121e-15,2.93095e-15
5.92000e+02,3.83831e-15,1.48796e-15,2.35035e-15
5.98000e+02,3.21186e-15,1.30931e-15,1.90255e-15
6.04000e+02,2.71428e-15,1.15952e-15,1.55476e-15
6.10000e+02,2.31581e-15,1.03343e-15,1.28238e-15
6.16000e+02,1.99380e-15,9.26674e-16,1.06713e-15
6.22000e+02,1.72684e-15,8.37846e-16,8.88996e-16
6.28000e+02,1.50739e-15,7.61676e-16,7.45717e-16
6.34000e+02,1.32570e-15,6.95313e-16,6.30390e-16
6.40000e+02,1.17422e-15,6.37201e-16,5.37017e-16
6.46000e+02,1.04748e-15,5.86166e-16,4.61316e-16
6.52000e+02,9.40652e-16,5.41094e-16,3.99558e-16
6.58000e+02,8.49697e-16,5.00995e-16,3.48702e-16
6.64000e+02,7.75763e-16,4.65149e-16,3.10615e-16
6.70000e+02,7.13614e-16,4.33042e-16,2.80572e-16
6.76000e+02,6.59233e-16,4.04046e-16,2.55187e-16
6.82000e+02,6.11595e-16,3.77826e-16,2.33769e-16
6.88000e+02,5.69792e-16,3.54079e-16,2.15712e-16
6.94000e+02,5.32810e-16,3.32447e-16,2.00363e-16
7.00000e+02,4.99970e-16,3.12683e-16,1.87288e-16
7.06000e+02,4.70657e-16,2.94579e-16,1.76079e-16
7.12000e+02,4.44091e-16,2.77996e-16,1.66095e-16
7.18000e+02,4.19842e-16,2.62721e-16,1.57121e-16
7.24000e+02,3.97587e-16,2.48594e-16,1.48993e-16
7.30000e+02,3.77162e-16,2.35523e-16,1.41638e-16
7.36000e+02,3.58321e-16,2.23385e-16,1.34937e-16
7.42000e+02,3.40954e-16,2.12113e-16,1.28841e-16
7.48000e+02,3.24906e-16,2.01628e-16,1.23278e-16
7.54000e+02,3.10039e-16,1.91853e-16,1.18186e-16
7.60000e+02,2.96446e-16,1.82726e-16,1.13719e-16
7.66000e+02,2.83819e-16,1.74187e-16,1.09633e-16
7.72000e+02,2.71925e-16,1.66191e-16,1.05734e-16
7.78000e+02,2.60699e-16,1.58690e-16,1.02009e-16
7.84000e+02,2.50097e-16,1.51648e-16,9.84491e-17
7.90000e+02,2.40072e-16,1.45025e-16,9.50461e-17
7.96000e+02,2.30581e-16,1.38791e-16,9.17897e-17
8.02000e+02,2.21613e-16,1.32926e-16,8.86873e-17
8.08000e+02,2.13080e-16,1.27380e-16,8.56995e-17
8.14000e+02,2.05031e-16,1.22163e-16,8.28677e-17
8.20000e+02,1.97356e-16,1.17220e-16,8.01366e-17
8.26000e+02,1.89497e-16,1.12530e-16,7.69666e-17
8.32000e+02,1.81909e-16,1.08085e-16,7.38243e-17
8.38000e+02,1.74837e-16,1.03885e-16,7.09522e-17
8.44000e+02,1.68204e-16,9.99018e-17,6.83019e-17
8.50000e+02,1.62003e-16,9.61307e-17,6.58721e-17
8.56000e+02,1.56172e-16,9.25487e-17,6.36237e-17
8.62000e+02,1.50705e-16,8.91500e-17,6.15547e-17
8.68000e+02,1.45551e-16,8.59159e-17,5.96349e-17
8.74000e+02,1.40705e-16,8.28420e-17,5.78626e-17
8.80000e+02,1.36140e-16,7.99171e-17,5.62224e-17
8.86000e+02,1.31836e-16,7.71324e-17,5.47039e-17
8.92000e+02,1.27764e-16,7.44745e-17,5.32896e-17
8.98000e+02,1.24400e-16,7.19630e-17,5.24373e-17
9.04000e+02,1.21224e-16,6.95605e-17,5.16631e-17
9.10000e+02,1.18180e-16,6.72671e-17,5.09132e-17
9.16000e+02,1.15249e-16,6.50683e-17,5.01803e-17
9.22000e+02,1.12430e-16,6.29633e-17,4.94671e-17
9.28000e+02,1.09719e-16,6.09464e-17,4.87721e-17
9.34000e+02,1.07109e-16,5.90140e-17,4.80954e-17
9.40000e+02,1.04597e-16,5.71612e-17,4.74354e-17
9.46000e+02,1.02170e-16,5.53805e-17,4.67894e-17
9.52000e+02,9.98357e-17,5.36744e-17,4.61613e-17
9.58000e+02,9.75805e-17,5.20341e-17,4.55464e-17
9.64000e+02,9.54086e-17,5.04607e-17,4.49479e-17
9.70000e+02,9.33082e-17,4.89468e-17,4.43614e-17
9.76000e+02,9.12835e-17,4.74933e-17,4.37902e-17
9.82000e+02,8.93280e-17,4.60957e-17,4.32323e-17
9.88000e+02,8.73317e-17,4.47455e-17,4.25861e-17
9.94000e+02,8.53344e-17,4.34463e-17,4.18881e-17
1.00000e+03,8.34095e-17,4.21953e-17,4.12142e-17
