Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,3.46658e-14,1.47847e-14,1.98810e-14
4.06000e+02,3.47094e-14,1.47306e-14,1.99788e-14
4.12000e+02,3.47280e-14,1.46430e-14,2.00850e-14
4.18000e+02,3.47249e-14,1.45277e-14,2.01973e-14
4.24000e+02,3.46863e-14,1.43687e-14,2.03176e-14
4.30000e+02,3.46211e-14,1.41729e-14,2.04482e-14
4.36000e+02,3.45495e-14,1.39583e-14,2.05912e-14
4.42000e+02,3.44663e-14,1.37168e-14,2.07496e-14
4.48000e+02,3.43777e-14,1.34552e-14,2.09225e-14
4.54000e+02,3.43034e-14,1.31995e-14,2.11038e-14
4.60000e+02,3.42525e-14,1.29656e-14,2.12869e-14
4.66000e+02,3.42076e-14,1.27471e-14,2.14605e-14
4.72000e+02,3.42601e-14,1.26147e-14,2.16454e-14
4.78000e+02,3.45276e-14,1.26654e-14,2.18622e-14
4.84000e+02,3.51921e-14,1.30535e-14,2.21387e-14
4.90000e+02,3.62082e-14,1.37539e-14,2.24543e-14
4.96000e+02,3.73281e-14,1.45597e-14,2.27684e-14
5.02000e+02,3.88083e-14,1.56875e-14,2.31208e-14
5.08000e+02,4.06662e-14,1.71762e-14,2.34899e-14
5.14000e+02,4.28887e-14,1.90677e-14,2.38210e-14
5.20000e+02,4.53740e-14,2.13611e-14,2.40129e-14
5.26000e+02,4.81031e-14,2.41823e-14,2.39208e-14
5.32000e+02,5.08376e-14,2.73723e-14,2.34653e-14
5.38000e+02,5.35659e-14,3.08528e-14,2.27131e-14
5.44000e+02,5.63724e-14,3.45652e-14,2.18073e-14
5.50000e+02,5.92773e-14,3.83919e-14,2.08854e-14
5.56000e+02,6.22204e-14,4.22251e-14,1.99953e-14
5.62000e+02,6.51553e-14,4.60352e-14,1.91201e-14
5.68000e+02,6.79310e-14,4.96894e-14,1.82416e-14
5.74000e+02,7.03781e-14,5.30413e-14,1.73368e-14
5.80000e+02,7.23310e-14,5.59375e-14,1.63935e-14
5.86000e+02,7.36064e-14,5.82066e-14,1.53998e-14
5.92000e+02,7.41125e-14,5.97550e-14,1.43575e-14
5.98000e+02,7.38729e-14,6.05844e-14,1.32886e-14
6.04000e+02,7.29299e-14,6.07181e-14,1.22118e-14
6.10000e+02,7.13625e-14,6.02140e-14,1.11485e-14
6.16000e+02,6.92747e-14,5.91558e-14,1.01190e-14
6.22000e+02,6.69094e-14,5.78308e-14,9.07856e-15
6.28000e+02,6.42616e-14,5.61556e-14,8.10601e-15
6.34000e+02,6.13929e-14,5.41734e-14,7.21946e-15
6.40000e+02,5.83986e-14,5.19769e-14,6.42173e-15
6.46000e+02,5.53691e-14,4.96540e-14,5.71519e-15
6.52000e+02,5.23662e-14,4.72719e-14,5.09434e-15
6.58000e+02,4.94277e-14,4.48777e-14,4.54996e-15
6.64000e+02,4.66030e-14,4.24779e-14,4.12504e-15
6.70000e+02,4.39185e-14,4.01419e-14,3.77661e-15
6.76000e+02,4.13646e-14,3.78940e-14,3.47067e-15
6.82000e+02,3.89557e-14,3.57517e-14,3.20398e-15
6.88000e+02,3.66985e-14,3.37257e-14,2.97283e-15
6.94000e+02,3.45831e-14,3.18117e-14,2.77142e-15
7.00000e+02,3.26056e-14,3.00095e-14,2.59607e-15
7.06000e+02,3.07601e-14,2.83173e-14,2.44278e-15
7.12000e+02,2.90420e-14,2.67380e-14,2.30401e-15
7.18000e+02,2.74374e-14,2.52599e-14,2.17748e-15
7.24000e+02,2.59358e-14,2.38743e-14,2.06148e-15
7.30000e+02,2.45341e-14,2.25787e-14,1.95542e-15
7.36000e+02,2.32226e-14,2.13647e-14,1.85793e-15
7.42000e+02,2.19985e-14,2.02299e-14,1.76860e-15
7.48000e+02,2.08554e-14,1.91688e-14,1.68658e-15
7.54000e+02,1.97871e-14,1.81760e-14,1.61111e-15
7.60000e+02,1.87904e-14,1.72460e-14,1.54434e-15
7.66000e+02,1.78575e-14,1.63745e-14,1.48297e-15
7.72000e+02,1.69828e-14,1.55583e-14,1.42447e-15
7.78000e+02,1.61617e-14,1.47930e-14,1.36868e-15
