Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,4.08213e-14,1.78455e-14,2.29758e-14
4.06000e+02,4.08345e-14,1.77937e-14,2.30408e-14
4.12000e+02,4.08225e-14,1.77090e-14,2.31135e-14
4.18000e+02,4.07897e-14,1.75973e-14,2.31924e-14
4.24000e+02,4.07232e-14,1.74414e-14,2.32818e-14
4.30000e+02,4.06347e-14,1.72486e-14,2.33861e-14
4.36000e+02,4.05469e-14,1.70381e-14,2.35088e-14
4.42000e+02,4.04548e-14,1.67999e-14,2.36549e-14
4.48000e+02,4.03639e-14,1.65403e-14,2.38236e-14
4.54000e+02,4.02922e-14,1.62863e-14,2.40059e-14
4.60000e+02,4.02477e-14,1.60551e-14,2.41927e-14
4.66000e+02,4.02095e-14,1.58391e-14,2.43703e-14
4.72000e+02,4.02798e-14,1.57196e-14,2.45602e-14
4.78000e+02,4.05910e-14,1.58090e-14,2.47820e-14
4.84000e+02,4.13515e-14,1.62868e-14,2.50648e-14
4.90000e+02,4.25120e-14,1.71240e-14,2.53880e-14
4.96000e+02,4.37878e-14,1.80789e-14,2.57089e-14
5.02000e+02,4.54680e-14,1.93957e-14,2.60723e-14
5.08000e+02,4.75664e-14,2.11093e-14,2.64571e-14
5.14000e+02,5.00536e-14,2.32527e-14,2.68008e-14
5.20000e+02,5.27784e-14,2.58035e-14,2.69748e-14
5.26000e+02,5.56177e-14,2.88626e-14,2.67550e-14
5.32000e+02,5.82195e-14,3.22261e-14,2.59933e-14
5.38000e+02,6.05309e-14,3.57943e-14,2.47366e-14
5.44000e+02,6.27052e-14,3.95148e-14,2.31905e-14
5.50000e+02,6.49207e-14,4.33042e-14,2.16164e-14
5.56000e+02,6.72669e-14,4.70966e-14,2.01704e-14
5.62000e+02,6.97525e-14,5.09030e-14,1.88495e-14
5.68000e+02,7.22939e-14,5.46405e-14,1.76534e-14
5.74000e+02,7.47717e-14,5.82133e-14,1.65584e-14
5.80000e+02,7.70528e-14,6.15117e-14,1.55412e-14
5.86000e+02,7.89911e-14,6.44143e-14,1.45768e-14
5.92000e+02,8.04760e-14,6.68302e-14,1.36458e-14
5.98000e+02,8.14613e-14,6.87199e-14,1.27414e-14
6.04000e+02,8.19178e-14,7.00592e-14,1.18586e-14
6.10000e+02,8.18420e-14,7.08436e-14,1.09984e-14
6.16000e+02,8.12537e-14,7.10890e-14,1.01646e-14
6.22000e+02,8.03198e-14,7.10250e-14,9.29474e-15
6.28000e+02,7.89830e-14,7.05176e-14,8.46537e-15
6.34000e+02,7.72613e-14,6.95674e-14,7.69389e-15
6.40000e+02,7.52189e-14,6.82356e-14,6.98330e-15
6.46000e+02,7.29308e-14,6.65925e-14,6.33838e-15
6.52000e+02,7.04603e-14,6.47030e-14,5.75732e-15
6.58000e+02,6.78565e-14,6.26216e-14,5.23484e-15
6.64000e+02,6.51703e-14,6.03447e-14,4.82559e-15
6.70000e+02,6.24646e-14,5.79782e-14,4.48643e-15
6.76000e+02,5.97583e-14,5.55763e-14,4.18199e-15
6.82000e+02,5.70887e-14,5.31774e-14,3.91127e-15
6.88000e+02,5.44853e-14,5.08129e-14,3.67241e-15
6.94000e+02,5.19552e-14,4.84945e-14,3.46074e-15
7.00000e+02,4.95111e-14,4.62375e-14,3.27361e-15
7.06000e+02,4.71619e-14,4.40543e-14,3.10762e-15
7.12000e+02,4.49182e-14,4.19637e-14,2.95448e-15
7.18000e+02,4.27727e-14,3.99603e-14,2.81231e-15
7.24000e+02,4.07212e-14,3.80415e-14,2.67972e-15
7.30000e+02,3.87687e-14,3.62121e-14,2.55660e-15
7.36000e+02,3.69091e-14,3.44673e-14,2.44176e-15
7.42000e+02,3.51454e-14,3.28103e-14,2.33514e-15
7.48000e+02,3.34744e-14,3.12384e-14,2.23605e-15
7.54000e+02,3.18919e-14,2.97480e-14,2.14384e-15
7.60000e+02,3.03967e-14,2.83351e-14,2.06165e-15
7.66000e+02,2.89818e-14,2.69964e-14,1.98540e-15
7.72000e+02,2.76426e-14,2.57307e-14,1.91191e-15
7.78000e+02,2.63744e-14,2.45333e-14,1.84112e-15
7.84000e+02,2.51742e-14,2.34012e-14,1.77303e-15
7.90000e+02,2.40381e-14,2.23305e-14,1.70761e-15
7.96000e+02,2.29625e-14,2.13177e-14,1.64476e-15
8.02000e+02,2.19465e-14,2.03618e-14,1.58472e-15
8.08000e+02,2.09818e-14,1.94550e-14,1.52681e-15
8.14000e+02,2.00726e-14,1.86007e-14,1.47185e-15
8.20000e+02,1.92087e-14,1.77899e-14,1.41885e-15
8.26000e+02,1.83795e-14,1.70211e-14,1.35843e-15
8.32000e+02,1.75910e-14,1.62922e-14,1.29879e-15
8.38000e+02,1.68478e-14,1.56036e-14,1.24422e-15
8.44000e+02,1.61447e-14,1.49509e-14,1.19383e-15
8.50000e+02,1.54812e-14,1.43336e-14,1.14758e-15
8.56000e+02,1.48528e-14,1.37480e-14,1.10478e-15
8.62000e+02,1.42588e-14,1.31934e-14,1.06536e-15
8.68000e+02,1.36954e-14,1.26666e-14,1.02879e-15
8.74000e+02,1.31622e-14,1.21672e-14,9.95018e-16
8.80000e+02,1.26568e-14,1.16931e-14,9.63757e-16
8.86000e+02,1.21778e-14,1.12430e-14,9.34807e-16
8.92000e+02,1.17224e-14,1.08146e-14,9.07848e-16
8.98000e+02,1.13017e-14,1.04111e-14,8.90623e-16
9.04000e+02,1.09010e-14,1.00262e-14,8.74863e-16
9.10000e+02,1.05197e-14,9.66004e-15,8.59663e-16
9.16000e+02,1.01550e-14,9.31010e-15,8.44884e-16
9.22000e+02,9.80678e-15,8.97621e-15,8.30571e-16
9.28000e+02,9.47411e-15,8.65742e-15,8.16696e-16
9.34000e+02,9.15632e-15,8.35306e-15,8.03253e-16
9.40000e+02,8.85249e-15,8.06227e-15,7.90214e-16
9.46000e+02,8.56128e-15,7.78376e-15,7.77523e-16
9.52000e+02,8.28318e-15,7.51793e-15,7.65248e-16
9.58000e+02,8.01655e-15,7.26325e-15,7.53301e-16
9.64000e+02,7.76162e-15,7.01989e-15,7.41732e-16
9.70000e+02,7.51700e-15,6.78654e-15,7.30465e-16
9.76000e+02,7.28291e-15,6.56336e-15,7.19548e-16
9.82000e+02,7.05851e-15,6.34957e-15,7.08945e-16
9.88000e+02,6.84072e-15,6.14373e-15,6.96993e-16
9.94000e+02,6.63070e-15,5.94641e-15,6.84293e-16
1.00000e+03,6.42919e-15,5.75711e-15,6.72079e-16
