Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,1.80781e-14,6.31197e-15,1.17662e-14
4.06000e+02,1.80840e-14,6.24074e-15,1.18432e-14
4.12000e+02,1.80663e-14,6.15032e-15,1.19160e-14
4.18000e+02,1.80289e-14,6.04473e-15,1.19841e-14
4.24000e+02,1.79606e-14,5.91640e-15,1.20442e-14
4.30000e+02,1.78679e-14,5.77100e-15,1.20969e-14
4.36000e+02,1.77664e-14,5.62034e-15,1.21461e-14
4.42000e+02,1.76511e-14,5.46196e-15,1.21891e-14
4.48000e+02,1.75253e-14,5.30090e-15,1.22244e-14
4.54000e+02,1.74026e-14,5.14976e-15,1.22528e-14
4.60000e+02,1.72881e-14,5.01461e-15,1.22735e-14
4.66000e+02,1.71720e-14,4.88972e-15,1.22823e-14
4.72000e+02,1.71020e-14,4.80885e-15,1.22931e-14
4.78000e+02,1.71353e-14,4.81326e-15,1.23221e-14
4.84000e+02,1.73545e-14,4.96527e-15,1.23892e-14
4.90000e+02,1.77380e-14,5.24359e-15,1.24944e-14
4.96000e+02,1.81795e-14,5.55616e-15,1.26233e-14
5.02000e+02,1.88166e-14,6.00050e-15,1.28161e-14
5.08000e+02,1.96836e-14,6.59751e-15,1.30861e-14
5.14000e+02,2.08184e-14,7.37578e-15,1.34426e-14
5.20000e+02,2.22302e-14,8.35387e-15,1.38764e-14
5.26000e+02,2.40262e-14,9.63278e-15,1.43935e-14
5.32000e+02,2.60264e-14,1.11723e-14,1.48541e-14
5.38000e+02,2.81422e-14,1.29727e-14,1.51696e-14
5.44000e+02,3.03795e-14,1.50503e-14,1.53292e-14
5.50000e+02,3.27796e-14,1.73833e-14,1.53962e-14
5.56000e+02,3.53236e-14,1.99076e-14,1.54159e-14
5.62000e+02,3.81203e-14,2.26741e-14,1.54461e-14
5.68000e+02,4.10994e-14,2.56228e-14,1.54767e-14
5.74000e+02,4.41102e-14,2.86463e-14,1.54639e-14
5.80000e+02,4.69272e-14,3.15767e-14,1.53505e-14
5.86000e+02,4.92841e-14,3.42028e-14,1.50813e-14
5.92000e+02,5.08757e-14,3.62781e-14,1.45975e-14
5.98000e+02,5.15185e-14,3.76309e-14,1.38877e-14
6.04000e+02,5.11541e-14,3.81774e-14,1.29768e-14
6.10000e+02,4.98432e-14,3.79262e-14,1.19170e-14
6.16000e+02,4.77459e-14,3.69717e-14,1.07743e-14
6.22000e+02,4.52196e-14,3.56511e-14,9.56855e-15
6.28000e+02,4.23481e-14,3.39438e-14,8.40430e-15
6.34000e+02,3.92808e-14,3.19546e-14,7.32616e-15
6.40000e+02,3.61813e-14,2.98247e-14,6.35666e-15
6.46000e+02,3.31788e-14,2.76707e-14,5.50805e-15
6.52000e+02,3.03468e-14,2.55703e-14,4.77658e-15
6.58000e+02,2.77176e-14,2.35671e-14,4.15043e-15
6.64000e+02,2.53298e-14,2.16678e-14,3.66199e-15
6.70000e+02,2.31811e-14,1.99147e-14,3.26641e-15
6.76000e+02,2.12376e-14,1.83094e-14,2.92818e-15
6.82000e+02,1.94913e-14,1.68506e-14,2.64068e-15
6.88000e+02,1.79289e-14,1.55317e-14,2.39720e-15
6.94000e+02,1.65266e-14,1.43370e-14,2.18960e-15
7.00000e+02,1.52677e-14,1.32553e-14,2.01236e-15
7.06000e+02,1.41363e-14,1.22761e-14,1.86025e-15
7.12000e+02,1.31190e-14,1.13930e-14,1.72603e-15
7.18000e+02,1.21984e-14,1.05919e-14,1.60653e-15
7.24000e+02,1.13618e-14,9.86236e-15,1.49940e-15
7.30000e+02,1.06019e-14,9.19846e-15,1.40347e-15
7.36000e+02,9.90875e-15,8.59176e-15,1.31698e-15
7.42000e+02,9.27707e-15,8.03791e-15,1.23916e-15
7.48000e+02,8.70022e-15,7.53129e-15,1.16892e-15
7.54000e+02,8.17213e-15,7.06683e-15,1.10530e-15
7.60000e+02,7.68948e-15,6.64007e-15,1.04941e-15
7.66000e+02,7.24582e-15,6.24714e-15,9.98674e-16
7.72000e+02,6.83640e-15,5.88522e-15,9.51187e-16
7.78000e+02,6.45769e-15,5.55104e-15,9.06650e-16
7.84000e+02,6.10695e-15,5.24210e-15,8.64852e-16
7.90000e+02,5.78155e-15,4.95596e-15,8.25585e-16
