Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,7.14173e-15,1.37919e-15,5.76254e-15
4.06000e+02,7.10430e-15,1.33455e-15,5.76976e-15
4.12000e+02,7.05378e-15,1.28621e-15,5.76756e-15
4.18000e+02,6.99203e-15,1.23555e-15,5.75648e-15
4.24000e+02,6.91647e-15,1.18133e-15,5.73514e-15
4.30000e+02,6.83572e-15,1.12623e-15,5.70949e-15
4.36000e+02,6.76258e-15,1.07413e-15,5.68845e-15
4.42000e+02,6.70063e-15,1.02516e-15,5.67548e-15
4.48000e+02,6.65418e-15,9.80625e-16,5.67356e-15
4.54000e+02,6.62480e-15,9.42307e-16,5.68249e-15
4.60000e+02,6.60851e-15,9.10210e-16,5.69830e-15
4.66000e+02,6.59073e-15,8.81206e-16,5.70953e-15
4.72000e+02,6.60670e-15,8.64699e-16,5.74200e-15
4.78000e+02,6.68908e-15,8.70659e-16,5.81842e-15
4.84000e+02,6.88294e-15,9.14792e-16,5.96814e-15
4.90000e+02,7.15671e-15,9.90639e-16,6.16607e-15
4.96000e+02,7.44110e-15,1.07420e-15,6.36690e-15
5.02000e+02,7.82899e-15,1.19486e-15,6.63413e-15
5.08000e+02,8.34756e-15,1.36272e-15,6.98484e-15
5.14000e+02,9.03387e-15,1.59288e-15,7.44099e-15
5.20000e+02,9.92053e-15,1.90099e-15,8.01954e-15
5.26000e+02,1.11296e-14,2.33402e-15,8.79561e-15
5.32000e+02,1.26230e-14,2.89975e-15,9.72328e-15
5.38000e+02,1.43909e-14,3.61341e-15,1.07775e-14
5.44000e+02,1.63875e-14,4.47803e-15,1.19095e-14
5.50000e+02,1.84180e-14,5.44242e-15,1.29755e-14
5.56000e+02,2.01920e-14,6.41742e-15,1.37745e-14
5.62000e+02,2.13681e-14,7.27036e-15,1.40978e-14
5.68000e+02,2.15478e-14,7.81375e-15,1.37341e-14
5.74000e+02,2.05680e-14,7.91547e-15,1.26525e-14
5.80000e+02,1.86402e-14,7.58084e-15,1.10594e-14
5.86000e+02,1.61245e-14,6.89981e-15,9.22472e-15
5.92000e+02,1.35403e-14,6.07279e-15,7.46750e-15
5.98000e+02,1.12407e-14,5.26594e-15,5.97471e-15
6.04000e+02,9.31120e-15,4.54230e-15,4.76890e-15
6.10000e+02,7.74016e-15,3.92080e-15,3.81935e-15
6.16000e+02,6.47725e-15,3.39807e-15,3.07917e-15
6.22000e+02,5.46651e-15,2.97633e-15,2.49018e-15
6.28000e+02,4.65356e-15,2.62400e-15,2.02956e-15
6.34000e+02,3.99395e-15,2.32545e-15,1.66849e-15
6.40000e+02,3.45603e-15,2.07193e-15,1.38410e-15
6.46000e+02,3.01604e-15,1.85633e-15,1.15970e-15
6.52000e+02,2.65322e-15,1.67191e-15,9.81315e-16
6.58000e+02,2.35073e-15,1.51279e-15,8.37945e-16
6.64000e+02,2.10575e-15,1.37449e-15,7.31260e-16
6.70000e+02,1.90216e-15,1.25413e-15,6.48031e-16
6.76000e+02,1.72727e-15,1.14833e-15,5.78944e-16
6.82000e+02,1.57669e-15,1.05512e-15,5.21562e-16
6.88000e+02,1.44664e-15,9.72794e-16,4.73844e-16
6.94000e+02,1.33325e-15,8.99503e-16,4.33748e-16
7.00000e+02,1.23390e-15,8.33984e-16,3.99920e-16
7.06000e+02,1.14636e-15,7.75192e-16,3.71167e-16
7.12000e+02,1.06834e-15,7.22420e-16,3.45923e-16
7.18000e+02,9.98221e-16,6.74693e-16,3.23527e-16
7.24000e+02,9.34783e-16,6.31293e-16,3.03490e-16
7.30000e+02,8.77360e-16,5.91794e-16,2.85565e-16
