# Ratio, Abs532nm
2.500000000000000000e+01 7.649998630751914913e-15
2.602564102564102555e+01 8.118787500469135571e-15
2.705128205128205110e+01 8.569506090794997260e-15
2.807692307692307665e+01 9.003707128653327116e-15
2.910256410256410220e+01 9.422943340967968051e-15
3.012820512820512775e+01 9.828767454662753511e-15
3.115384615384615330e+01 1.022273219666152010e-14
3.217948717948718240e+01 1.060639029388811072e-14
3.320512820512820440e+01 1.098129447326635252e-14
3.423076923076922640e+01 1.134899746172008841e-14
3.525641025641025550e+01 1.171105198617315498e-14
3.628205128205128460e+01 1.206901077354938569e-14
3.730769230769230660e+01 1.242442655077261397e-14
3.833333333333332860e+01 1.277885204476667644e-14
3.935897435897435770e+01 1.313383998245542862e-14
4.038461538461538680e+01 1.349094309076268818e-14
4.141025641025640880e+01 1.385171409661228542e-14
4.243589743589743080e+01 1.421770572692808376e-14
4.346153846153845990e+01 1.459047070863389139e-14
4.448717948717948900e+01 1.497156176865355913e-14
4.551282051282051100e+01 1.536253163391092987e-14
4.653846153846153300e+01 1.576493303132982130e-14
4.756410256410256210e+01 1.618031868783408894e-14
4.858974358974359120e+01 1.661024133034756309e-14
4.961538461538461320e+01 1.705625368579406142e-14
5.064102564102563520e+01 1.751990848109745207e-14
5.166666666666666430e+01 1.800275844318155272e-14
5.269230769230769340e+01 1.850635629897020628e-14
5.371794871794871540e+01 1.903225477538724936e-14
5.474358974358973740e+01 1.958200659935650593e-14
5.576923076923076650e+01 2.015716449780183152e-14
5.679487179487179560e+01 2.075928119764705643e-14
5.782051282051281760e+01 2.138990942581601095e-14
5.884615384615383959e+01 2.205060190923253168e-14
5.987179487179486870e+01 2.274291137482047415e-14
6.089743589743589780e+01 2.346839054950364341e-14
6.192307692307691980e+01 2.422859216020590130e-14
6.294871794871794179e+01 2.502506893385107181e-14
6.397435897435897090e+01 2.585937359736300416e-14
6.500000000000000000e+01 2.673305887766551601e-14
