Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,3.65070e-15,4.63470e-16,3.18723e-15
4.06000e+02,3.58047e-15,4.38674e-16,3.14180e-15
4.12000e+02,3.51305e-15,4.14659e-16,3.09839e-15
4.18000e+02,3.44692e-15,3.91502e-16,3.05542e-15
4.24000e+02,3.38600e-15,3.69163e-16,3.01684e-15
4.30000e+02,3.33652e-15,3.48314e-16,2.98821e-15
4.36000e+02,3.30458e-15,3.29725e-16,2.97485e-15
4.42000e+02,3.29937e-15,3.13669e-16,2.98570e-15
4.48000e+02,3.32693e-15,3.00438e-16,3.02650e-15
4.54000e+02,3.38362e-15,2.89989e-16,3.09363e-15
4.60000e+02,3.46356e-15,2.81987e-16,3.18158e-15
4.66000e+02,3.55158e-15,2.75194e-16,3.27638e-15
4.72000e+02,3.67752e-15,2.72635e-16,3.40488e-15
4.78000e+02,3.86506e-15,2.77458e-16,3.58761e-15
4.84000e+02,4.14419e-15,2.94893e-16,3.84930e-15
4.90000e+02,4.45155e-15,3.21784e-16,4.12977e-15
4.96000e+02,4.69620e-15,3.48352e-16,4.34784e-15
5.02000e+02,4.90102e-15,3.80808e-16,4.52021e-15
5.08000e+02,5.01418e-15,4.15951e-16,4.59823e-15
5.14000e+02,4.97627e-15,4.48122e-16,4.52815e-15
5.20000e+02,4.74605e-15,4.69349e-16,4.27670e-15
5.26000e+02,4.28910e-15,4.71397e-16,3.81771e-15
5.32000e+02,3.72532e-15,4.56040e-16,3.26928e-15
5.38000e+02,3.14915e-15,4.28665e-16,2.72049e-15
5.44000e+02,2.61795e-15,3.94865e-16,2.22308e-15
5.50000e+02,2.16549e-15,3.59912e-16,1.80558e-15
5.56000e+02,1.80383e-15,3.28619e-16,1.47521e-15
5.62000e+02,1.50536e-15,2.99427e-16,1.20593e-15
5.68000e+02,1.26165e-15,2.72865e-16,9.88788e-16
5.74000e+02,1.06352e-15,2.49036e-16,8.14488e-16
5.80000e+02,9.02927e-16,2.27849e-16,6.75078e-16
5.86000e+02,7.71106e-16,2.08685e-16,5.62421e-16
5.92000e+02,6.63244e-16,1.91620e-16,4.71624e-16
5.98000e+02,5.75249e-16,1.76653e-16,3.98596e-16
6.04000e+02,5.02738e-16,1.63447e-16,3.39291e-16
6.10000e+02,4.42460e-16,1.51732e-16,2.90729e-16
6.16000e+02,3.91942e-16,1.41283e-16,2.50659e-16
6.22000e+02,3.47543e-16,1.32062e-16,2.15482e-16
6.28000e+02,3.09829e-16,1.23772e-16,1.86058e-16
6.34000e+02,2.77842e-16,1.16242e-16,1.61599e-16
6.40000e+02,2.50575e-16,1.09381e-16,1.41194e-16
6.46000e+02,2.27305e-16,1.03118e-16,1.24188e-16
6.52000e+02,2.07339e-16,9.73806e-17,1.09958e-16
6.58000e+02,1.90071e-16,9.21021e-17,9.79689e-17
6.64000e+02,1.76220e-16,8.72339e-17,8.89865e-17
6.70000e+02,1.64602e-16,8.27378e-17,8.18643e-17
6.76000e+02,1.54324e-16,7.85633e-17,7.57609e-17
6.82000e+02,1.45235e-16,7.46852e-17,7.05501e-17
6.88000e+02,1.37196e-16,7.10799e-17,6.61159e-17
6.94000e+02,1.30037e-16,6.77164e-17,6.23205e-17
7.00000e+02,1.23647e-16,6.45733e-17,5.90740e-17
7.06000e+02,1.17915e-16,6.16317e-17,5.62834e-17
7.12000e+02,1.12646e-16,5.88791e-17,5.37666e-17
7.18000e+02,1.07774e-16,5.62945e-17,5.14792e-17
7.24000e+02,1.03248e-16,5.38618e-17,4.93866e-17
7.30000e+02,9.90465e-17,5.15717e-17,4.74749e-17
7.36000e+02,9.51289e-17,4.94108e-17,4.57180e-17
7.42000e+02,9.14791e-17,4.73724e-17,4.41068e-17
7.48000e+02,8.80724e-17,4.54470e-17,4.26254e-17
7.54000e+02,8.48860e-17,4.36264e-17,4.12596e-17
7.60000e+02,8.19743e-17,4.19031e-17,4.00712e-17
7.66000e+02,7.92508e-17,4.02698e-17,3.89810e-17
7.72000e+02,7.66453e-17,3.87211e-17,3.79243e-17
7.78000e+02,7.41505e-17,3.72509e-17,3.68996e-17
7.84000e+02,7.17606e-17,3.58544e-17,3.59062e-17
7.90000e+02,6.94704e-17,3.45267e-17,3.49437e-17
7.96000e+02,6.72741e-17,3.32635e-17,3.40106e-17
8.02000e+02,6.51720e-17,3.20621e-17,3.31100e-17
8.08000e+02,6.31487e-17,3.09159e-17,3.22328e-17
8.14000e+02,6.12166e-17,2.98258e-17,3.13908e-17
8.20000e+02,5.93549e-17,2.87844e-17,3.05705e-17
8.26000e+02,5.73549e-17,2.77887e-17,2.95662e-17
8.32000e+02,5.53909e-17,2.68372e-17,2.85537e-17
8.38000e+02,5.35545e-17,2.59295e-17,2.76250e-17
8.44000e+02,5.18277e-17,2.50619e-17,2.67657e-17
8.50000e+02,5.02090e-17,2.42333e-17,2.59757e-17
8.56000e+02,4.86836e-17,2.34402e-17,2.52434e-17
8.62000e+02,4.72500e-17,2.26817e-17,2.45683e-17
8.68000e+02,4.58964e-17,2.19549e-17,2.39415e-17
8.74000e+02,4.46211e-17,2.12590e-17,2.33621e-17
8.80000e+02,4.34179e-17,2.05922e-17,2.28257e-17
8.86000e+02,4.22819e-17,1.99529e-17,2.23290e-17
8.92000e+02,4.12062e-17,1.93391e-17,2.18671e-17
8.98000e+02,4.03758e-17,1.87533e-17,2.16225e-17
9.04000e+02,3.95959e-17,1.81900e-17,2.14059e-17
9.10000e+02,3.88429e-17,1.76490e-17,2.11939e-17
9.16000e+02,3.81140e-17,1.71281e-17,2.09860e-17
9.22000e+02,3.74092e-17,1.66269e-17,2.07823e-17
9.28000e+02,3.67271e-17,1.61444e-17,2.05827e-17
9.34000e+02,3.60668e-17,1.56798e-17,2.03870e-17
9.40000e+02,3.54273e-17,1.52324e-17,2.01949e-17
9.46000e+02,3.48074e-17,1.48008e-17,2.00066e-17
9.52000e+02,3.42070e-17,1.43852e-17,1.98218e-17
9.58000e+02,3.36245e-17,1.39841e-17,1.96404e-17
9.64000e+02,3.30599e-17,1.35976e-17,1.94623e-17
9.70000e+02,3.25119e-17,1.32244e-17,1.92875e-17
9.76000e+02,3.19802e-17,1.28645e-17,1.91157e-17
9.82000e+02,3.14642e-17,1.25171e-17,1.89470e-17
9.88000e+02,3.09204e-17,1.21808e-17,1.87396e-17
9.94000e+02,3.03624e-17,1.18560e-17,1.85064e-17
1.00000e+03,2.98233e-17,1.15422e-17,1.82811e-17
