Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,2.30882e-14,8.14877e-15,1.49395e-14
4.06000e+02,2.27768e-14,7.87011e-15,1.49067e-14
4.12000e+02,2.24428e-14,7.57862e-15,1.48642e-14
4.18000e+02,2.20880e-14,7.27944e-15,1.48086e-14
4.24000e+02,2.17192e-14,6.96989e-15,1.47493e-14
4.30000e+02,2.13647e-14,6.66155e-15,1.47031e-14
4.36000e+02,2.10595e-14,6.37034e-15,1.46892e-14
4.42000e+02,2.08362e-14,6.10007e-15,1.47361e-14
4.48000e+02,2.07237e-14,5.85837e-15,1.48654e-14
4.54000e+02,2.07248e-14,5.65241e-15,1.50724e-14
4.60000e+02,2.08267e-14,5.48249e-15,1.53442e-14
4.66000e+02,2.09724e-14,5.33319e-15,1.56392e-14
4.72000e+02,2.13004e-14,5.25384e-15,1.60466e-14
4.78000e+02,2.19432e-14,5.30129e-15,1.66419e-14
4.84000e+02,2.30948e-14,5.57145e-15,1.75233e-14
4.90000e+02,2.45555e-14,6.03195e-15,1.85236e-14
4.96000e+02,2.59249e-14,6.53179e-15,1.93931e-14
5.02000e+02,2.74428e-14,7.20643e-15,2.02364e-14
5.08000e+02,2.89751e-14,8.04505e-15,2.09300e-14
5.14000e+02,3.02898e-14,8.99741e-15,2.12924e-14
5.20000e+02,3.10372e-14,9.93255e-15,2.11047e-14
5.26000e+02,3.07284e-14,1.06629e-14,2.00656e-14
5.32000e+02,2.93446e-14,1.10266e-14,1.83180e-14
5.38000e+02,2.71014e-14,1.09817e-14,1.61197e-14
5.44000e+02,2.43398e-14,1.05796e-14,1.37602e-14
5.50000e+02,2.14718e-14,9.94869e-15,1.15231e-14
5.56000e+02,1.88742e-14,9.26984e-15,9.60435e-15
5.62000e+02,1.64941e-14,8.54816e-15,7.94597e-15
5.68000e+02,1.43892e-14,7.83457e-15,6.55467e-15
5.74000e+02,1.25680e-14,7.15906e-15,5.40895e-15
5.80000e+02,1.10157e-14,6.53751e-15,4.47817e-15
5.86000e+02,9.68086e-15,5.96196e-15,3.71890e-15
5.92000e+02,8.54795e-15,5.44319e-15,3.10476e-15
5.98000e+02,7.59715e-15,4.98613e-15,2.61102e-15
6.04000e+02,6.79365e-15,4.58260e-15,2.21105e-15
6.10000e+02,6.11006e-15,4.22530e-15,1.88476e-15
6.16000e+02,5.52457e-15,3.90783e-15,1.61674e-15
6.22000e+02,5.01297e-15,3.62965e-15,1.38331e-15
6.28000e+02,4.56990e-15,3.38087e-15,1.18904e-15
6.34000e+02,4.18432e-15,3.15605e-15,1.02827e-15
6.40000e+02,3.84705e-15,2.95232e-15,8.94736e-16
6.46000e+02,3.55137e-15,2.76746e-15,7.83911e-16
6.52000e+02,3.29072e-15,2.59917e-15,6.91557e-16
6.58000e+02,3.05933e-15,2.44528e-15,6.14048e-16
6.64000e+02,2.86007e-15,2.30413e-15,5.55945e-16
6.70000e+02,2.68446e-15,2.17455e-15,5.09905e-16
6.76000e+02,2.52557e-15,2.05500e-15,4.70573e-16
6.82000e+02,2.38170e-15,1.94462e-15,4.37082e-16
6.88000e+02,2.25127e-15,1.84263e-15,4.08642e-16
6.94000e+02,2.13238e-15,1.74803e-15,3.84349e-16
7.00000e+02,2.02373e-15,1.66013e-15,3.63605e-16
7.06000e+02,1.92412e-15,1.57832e-15,3.45804e-16
7.12000e+02,1.83198e-15,1.50218e-15,3.29799e-16
7.18000e+02,1.74637e-15,1.43107e-15,3.15302e-16
7.24000e+02,1.66655e-15,1.36446e-15,3.02087e-16
7.30000e+02,1.59212e-15,1.30207e-15,2.90052e-16
7.36000e+02,1.52251e-15,1.24348e-15,2.79032e-16
7.42000e+02,1.45741e-15,1.18845e-15,2.68956e-16
7.48000e+02,1.39643e-15,1.13671e-15,2.59722e-16
7.54000e+02,1.33923e-15,1.08799e-15,2.51235e-16
7.60000e+02,1.28594e-15,1.04207e-15,2.43866e-16
7.66000e+02,1.23585e-15,9.98717e-16,2.37128e-16
7.72000e+02,1.18839e-15,9.57771e-16,2.30624e-16
7.78000e+02,1.14339e-15,9.19049e-16,2.24341e-16
7.84000e+02,1.10067e-15,8.82402e-16,2.18272e-16
7.90000e+02,1.06010e-15,8.47686e-16,2.12411e-16
7.96000e+02,1.02152e-15,8.14770e-16,2.06748e-16
8.02000e+02,9.84867e-16,7.83571e-16,2.01296e-16
8.08000e+02,9.49907e-16,7.53903e-16,1.96004e-16
8.14000e+02,9.16708e-16,7.25775e-16,1.90933e-16
8.20000e+02,8.84992e-16,6.98985e-16,1.86007e-16
8.26000e+02,8.53426e-16,6.73451e-16,1.79975e-16
8.32000e+02,8.23021e-16,6.49121e-16,1.73901e-16
8.38000e+02,7.94315e-16,6.25978e-16,1.68337e-16
8.44000e+02,7.67116e-16,6.03917e-16,1.63200e-16
8.50000e+02,7.41386e-16,5.82902e-16,1.58484e-16
8.56000e+02,7.16965e-16,5.62842e-16,1.54122e-16
8.62000e+02,6.93813e-16,5.43705e-16,1.50108e-16
8.68000e+02,6.71804e-16,5.25414e-16,1.46390e-16
8.74000e+02,6.50903e-16,5.07942e-16,1.42961e-16
8.80000e+02,6.31031e-16,4.91237e-16,1.39793e-16
8.86000e+02,6.12128e-16,4.75261e-16,1.36867e-16
8.92000e+02,5.94109e-16,4.59956e-16,1.34154e-16
8.98000e+02,5.78140e-16,4.45378e-16,1.32762e-16
9.04000e+02,5.62935e-16,4.31391e-16,1.31544e-16
9.10000e+02,5.48340e-16,4.17986e-16,1.30354e-16
9.16000e+02,5.34297e-16,4.05103e-16,1.29194e-16
9.22000e+02,5.20793e-16,3.92732e-16,1.28060e-16
9.28000e+02,5.07800e-16,3.80846e-16,1.26954e-16
9.34000e+02,4.95296e-16,3.69424e-16,1.25872e-16
9.40000e+02,4.83255e-16,3.58442e-16,1.24813e-16
9.46000e+02,4.71649e-16,3.47868e-16,1.23781e-16
9.52000e+02,4.60472e-16,3.37703e-16,1.22769e-16
9.58000e+02,4.49691e-16,3.27911e-16,1.21780e-16
9.64000e+02,4.39300e-16,3.18491e-16,1.20810e-16
9.70000e+02,4.29271e-16,3.09409e-16,1.19862e-16
9.76000e+02,4.19597e-16,3.00666e-16,1.18931e-16
9.82000e+02,4.10258e-16,2.92239e-16,1.18019e-16
9.88000e+02,4.00965e-16,2.84095e-16,1.16871e-16
9.94000e+02,3.91801e-16,2.76240e-16,1.15560e-16
1.00000e+03,3.82961e-16,2.68663e-16,1.14298e-16
